Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Referendum,,Con lead,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,Question,Con Best PM,Lab Best PM,LD Best PM,Question,Govt good,Govt bad,Govt net,Question
1997,Jan,3-5,8,ICM,GU,31.0,0.0,48.0,-2.0,16.0,1.0,,,-17.0,2.0,,,,,,,,,,,,,,,,,,,,
,Jan,11-15,17,Gallup,DT,32.5,4.0,50.5,-2.0,10.5,-1.0,,,-18.0,6.0,,,,,,,,,,,,,,,,,,,,
,Jan,16,19,NOP,ST,32.0,1.0,49.0,-1.0,13.0,-1.0,1.0,0.0,-17.0,2.0,,,,,,,,,,,,,,,,,,,,
,Jan,24-28,31,MORI,TT,30.0,0.0,55.0,4.0,11.0,-2.0,,,-25.0,-4.0,,,,,,,,,,,,,,,,,,,,
,Jan,30-4,7,Gallup,DT,34.0,1.5,49.0,-1.5,12.0,1.5,1.0,,-15.0,3.0,,,,,,,,,,,,,,,,,,,,
,Jan,31-2,4,ICM,GU,32.0,1.0,48.0,0.0,15.0,-1.0,,,-16.0,1.0,,,,,,,,,,,,,,,,,,,,
,Jan,8-28,,G9000,,33.0,2.5,50.5,-0.5,11.3,-1.4,1.3,,-17.5,3.0,,,34.1,60.0,-25.9,61.7,26.4,35.3,60.8,22.5,38.3,,28.2,38.6,14.2,,24.0,65.2,-41.2,Are you satisfied or dissatisfied with the Government's record to date?
,Feb,13,16,NOP,ST,31.0,-1.0,49.0,0.0,13.0,0.0,,,-18.0,-1.0,,,,,,,,,,,,,,,,,,,,
,Feb,21,25,NOP,Reuters,30.0,-1.0,50.0,1.0,14.0,1.0,2.0,,-20.0,2.0,,,,,,,,,,,,,,,,,,,,
,Feb,21-24,27,MORI,TT,31.0,1.0,52.0,-3.0,11.0,0.0,2.0,,-21.0,4.0,,,,,,,,,,,,,,,,,,,,
,Feb,28-2,4,ICM,GU,30.0,-2.0,48.0,0.0,16.0,1.0,,,-18.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Feb,28-4,7,Gallup,DT,28.0,-6.0,54.0,5.0,12.5,0.5,2.0,1.0,-26.0,-11.0,,,,,,,,,,,,,,,,,,,,
,Feb,28-3,7,Harris,Ind,32.0,,53.0,,10.0,,,,-21.0,,,,,,,,,,,,,,,,,,,,,
,Feb,10/2-4/3,,G9000,,32.8,-0.2,50.9,0.4,10.8,-0.5,,,-18.1,-0.6,,,34.9,59.0,-24.1,64.1,24.5,39.6,62.3,21.7,40.6,,28.1,38.9,13.3,,25.5,63.3,-37.8,Are you satisfied or dissatisfied with the Government's record to date?
,Mar,7-10,14,Harris,Ind,27.0,-5.0,52.0,-2.0,14.0,4.0,,,-25.0,4.0,,,,,,,,,,,,,,,,,,,,
,Mar,13,15,NOP,ST,27.0,-3.0,52.0,2.0,13.0,-1.0,,,-25.0,-5.0,,,,,,,,,,,,,,,,,,,,
,Mar,14,18,NOP,Reuters,29.0,-1.0,54.0,4.0,11.0,-3.0,,,-25.0,-5.0,,,,,,,,,,,,,,,,,,,,
,Mar,14-17,21,Harris,Ind,29.0,2.0,56.0,4.0,10.0,-4.0,2.0,,-27.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Mar,15-17,18,Gallup,DT,28.5,0.5,56.5,2.5,9.5,-3.0,1.5,-0.5,-28.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Mar,19-21,23,Gallup,ST,29.0,0.5,54.5,-2.0,10.5,1.0,,,-25.5,2.5,,,,,,,,,,,,,,,,,,,,
,Mar,20-24,28,Harris,Ind,30.0,1.0,54.0,-2.0,11.0,1.0,2.0,0.0,-24.0,3.0,,,,,,,,,,,,,,,,,,,,
,Mar,21-24,27,MORI,TT,29.0,-2.0,50.0,-2.0,14.0,3.0,3.0,1.0,-21.0,0.0,,,,,,,,,,,,,,,,,,,,
,Mar,26-2,4,Gallup,DT,31.0,2.0,52.0,-2.5,11.0,0.5,1.0,-0.5,-21.0,4.5,,,,,,,,,,,,,,,,,,,,
,Mar,27-31,4,Harris,Ind,28.0,-2.0,52.0,-2.0,14.0,3.0,3.0,1.0,-24.0,0.0,,,,,,,,,,,,,,,,,,,,
,Mar,29-31,2,ICM,GU,32.0,2.0,46.0,-2.0,17.0,1.0,,,-14.0,4.0,,,,,,,,,,,,,,,,,,,,
,Mar,5/3-2/4,,G9000,,29.8,-3.0,53.7,2.8,10.8,0.0,,,-23.9,-5.8,,,33.3,60.7,-27.4,68.3,20.5,47.8,64.0,20.9,43.1,,24.6,41.2,12.4,,25.5,64.0,-38.5,Are you satisfied or dissatisfied with the Government's record to date?
,Apr,1,3,MORI,TT,28.0,-1.0,55.0,5.0,11.0,-3.0,2.0,-1.0,-27.0,-6.0,,,,,,,,,,,,,,,,,,,,
,Apr,1-3,9,Gallup,C4,30.0,-1.0,54.0,2.0,11.0,0.0,,,-24.0,-3.0,,,,,,,,,,,,,,,,,,,,
,Apr,2-3,6,MORI,IoS,30.0,,55.0,,9.0,,3.0,,-25.0,,Panel,,,,,,,,,,,,,,,,,,,
,Apr,2-4,6,ICM,OB,33.0,1.0,48.0,2.0,14.0,-3.0,,,-15.0,-1.0,,,,,,,,,,,,,,,,,,,,
,Apr,3,6,NOP,ST,28.0,-1.0,52.0,-2.0,12.0,1.0,,,-24.0,1.0,,,,,,,,,,,,,,,,,,,,
,Apr,4,7,NOP,Reuters,30.0,2.0,51.0,-1.0,11.0,-1.0,,,-21.0,3.0,,,,,,,,,,,,,,,,,,,,
,Apr,4-6,7,Gallup,DT,32.0,2.0,53.0,-1.0,10.0,-1.0,,,-21.0,3.0,,,,,,,,,,,,,,,,,,,,
,Apr,4-7,11,Harris,Ind,30.0,2.0,52.0,0.0,12.0,-2.0,,,-22.0,2.0,,,,,,,,,,,,,,,,,,,,
,Apr,5-7,8,Gallup,DT,33.0,1.0,53.0,0.0,10.0,0.0,,,-20.0,1.0,"Gallup DT polls are rolling polls, with some fieldwork overlap",,,,,,,,,,,,,,,,,,,
,Apr,6-7,9,ICM,GU,34.0,1.0,46.0,-2.0,15.0,1.0,,,-12.0,3.0,,,,,,,,,,,,,,,,,,,,
,Apr,6-8,9,Gallup,DT,32.0,-1.0,51.0,-2.0,11.0,1.0,,,-19.0,1.0,,,,,,,,,,,,,,,,,,,,
,Apr,8,10,MORI,TT,34.0,6.0,49.0,-6.0,12.0,1.0,1.0,-1.0,-15.0,12.0,,,,,,,,,,,,,,,,,,,,
,Apr,7-9,10,Gallup,DT,30.0,-2.0,53.0,2.0,11.0,0.0,,,-23.0,-4.0,,,,,,,,,,,,,,,,,,,,
,Apr,8-10,11,Gallup,DT,30.0,0.0,52.0,-1.0,11.0,0.0,,,-22.0,1.0,,,,,,,,,,,,,,,,,,,,
,Apr,9-11,12,Gallup,DT,32.0,2.0,52.0,0.0,11.0,0.0,,,-20.0,2.0,,,,,,,,,,,,,,,,,27.0,62.0,-35.0,Are you satisfied or dissatisfied with the Government's record to date?
,Apr,9-11,13,ICM,OB,32.0,-2.0,48.0,2.0,15.0,0.0,,,-16.0,-4.0,,,,,,,,,,,,,,,,,,,,
,Apr,11,13,NOP,ST,28.0,-2.0,48.0,-3.0,17.0,6.0,,,-20.0,1.0,,,,,,,,,,,,,,,,,,,,
,Apr,9-12,13,Gallup,STel,33.0,1.0,49.0,-3.0,12.0,1.0,,,-16.0,4.0,,,,,,,,,,,,,,,,,,,,
,Apr,10-12,14,Gallup,DT,32.0,-1.0,49.0,0.0,14.0,2.0,,,-17.0,-1.0,,,,,,,,,,,,,,,,,,,,
,Apr,11-14,15,MORI,ES ,29.0,-5.0,50.0,1.0,15.0,3.0,,,-21.0,-6.0,,,,,,,,,,,,,,,,,,,,
,Apr,11-14,18,Harris,Ind,31.0,1.0,49.0,-3.0,13.0,1.0,,,-18.0,4.0,,,,,,,,,,,,,,,,,,,,
,Apr,12-14,15,Gallup,DT,31.0,-1.0,49.0,0.0,13.0,-1.0,,,-18.0,1.0,,,,,,,,,,,,,,,,,,,,
,Apr,13-14,16,ICM,GU,31.0,-1.0,45.0,-3.0,19.0,4.0,,,-14.0,2.0,,,,,,,,,,,,,,,,,,,,
,Apr,13-15,16,Gallup,DT,30.0,-1.0,51.0,2.0,12.0,-1.0,3.0,,-21.0,-3.0,,,,,,,,,,,,,,,,,,,,
,Apr,15,17,MORI,TT,32.0,3.0,49.0,-1.0,13.0,-2.0,2.0,1.0,-17.0,4.0,,,,,,,,,,,,,,,,,,,,
,Apr,14-16,17,Gallup,DT,31.0,1.0,50.0,-1.0,11.0,-1.0,,,-19.0,2.0,,,,,,,,,,,,,,,,,,,,
,Apr,15-17,18,Gallup,DT,31.0,0.0,50.0,0.0,12.0,1.0,,,-19.0,0.0,,,,,,,,,,,,,,,,,,,,
,Apr,16-18,19,Gallup,DT,32.0,1.0,50.0,0.0,13.0,1.0,2.0,,-18.0,1.0,,,,,,,,,,,,,,,,,,,,
,Apr,16-18,20,ICM,OB,32.0,1.0,47.0,2.0,16.0,-3.0,,,-15.0,-1.0,,,,,,,,,,,,,,,,,,,,
,Apr,18,20,NOP,ST,31.0,3.0,45.0,-3.0,17.0,0.0,,,-14.0,6.0,,,,,,,,,,,,,,,,,,,,
,Apr,16-19,20,Gallup,STel,31.0,-1.0,50.0,0.0,13.0,0.0,,,-19.0,-1.0,,,,,,,,,,,,,,,,,,,,
,Apr,19-20,25,Harris,Ind,30.0,-1.0,48.0,-1.0,15.0,2.0,,,-18.0,0.0,,,,,,,,,,,,,,,,,,,,
,Apr,,21,Gallup,DT,32.0,1.0,48.0,-2.0,13.0,0.0,,,-16.0,3.0,,,,,,,,,,,,,,,,,,,,
,Apr,18-21,22,Gallup,DT,32.0,0.0,48.0,0.0,12.0,-1.0,3.0,,-16.0,0.0,,,,,,,,,,,,,,,,,,,,
,Apr,18-22,23,Gallup,C4,31.0,-1.0,50.0,2.0,13.0,1.0,,,-19.0,-3.0,,,,,,,,,,,,,,,,,,,,
,Apr,20-21,23,ICM,GU,37.0,5.0,42.0,-5.0,14.0,-2.0,,,-5.0,10.0,,,,,,,,,,,,,,,,,,,,
,Apr,20-22,23,Gallup,DT,30.0,-1.0,51.0,1.0,12.0,-2.0,4.0,1.0,-21.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Apr,21-23,24,Gallup,DT,30.0,0.0,50.0,-1.0,12.0,0.0,,,-20.0,1.0,,,,,,,,,,,,,,,,,,,,
,Apr,22,24,MORI,TT,27.0,-5.0,48.0,-1.0,17.0,4.0,3.0,1.0,-21.0,-4.0,,,,,,,,,,,,,,,,,,,,
,Apr,22-24,25,Gallup,DT,32.0,2.0,48.0,-2.0,12.0,0.0,,,-16.0,4.0,,,,,,,,,,,,,,,,,,,,
,Apr,23-24,27,MORI,IoS,29.0,-1.0,53.0,-2.0,12.0,3.0,3.0,0.0,-24.0,1.0,Panel,,,,,,,,,,,,,,,,,,,
,Apr,23-25,26,Gallup,DT,32.0,0.0,48.0,0.0,14.0,2.0,,,-16.0,0.0,,,,,,,,,,,,,,,,,,,,
,Apr,23-25,27,ICM,OB,32.0,-5.0,47.0,5.0,16.0,2.0,,,-15.0,-10.0,,,,,,,,,,,,,,,,,,,,
,Apr,24-28,29,Gallup,C4,31.0,-1.0,49.0,1.0,14.0,0.0,,,-18.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Apr,25,27,NOP,ST,29.0,-2.0,47.0,2.0,16.0,-1.0,,,-18.0,-4.0,,,,,,,,,,,,,,,,,,,,
,Apr,24-26,27,Gallup,STel,31.0,0.0,48.0,-1.0,13.0,-1.0,,,-17.0,1.0,,,,,,,,,,,,,,,,,,,,
,Apr,25-27,28,Gallup,DT,30.0,-1.0,49.0,1.0,14.0,1.0,,,-19.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Apr,26-28,29,Gallup,DT,29.0,-1.0,51.0,2.0,13.0,-1.0,,,-22.0,-3.0,,,,,,,,,,,,,,,,,,,,
,Apr,28-29,30,Gallup,DT,31.0,2.0,51.0,0.0,13.0,0.0,,,-20.0,2.0,,,,,,,,,,,,,,,,,,,,
,Apr,28-29,1,Harris,Ind,31.0,1.0,48.0,0.0,15.0,0.0,,,-17.0,1.0,,,,,,,,,,,,,,,,,,,,
,Apr,29,1,MORI,TT,28.0,-1.0,48.0,-5.0,16.0,4.0, ,-1.0,-20.0,4.0,,,,,,,,,,,,,,,,,,,,
,Apr,29,1,NOP,Reuters,28.0,-1.0,50.0,3.0,14.0,-2.0,,,-22.0,-4.0,,,,,,,,,,,,,,,,,,,,
,Apr,29-30,1,ICM,GU,33.0,1.0,43.0,-4.0,18.0,2.0,,,-10.0,5.0,,,,,,,,,,,,,,,,,,,,
,Apr,29-30,1,Gallup,DT,33.0,2.0,46.0,-5.0,16.0,3.0,1.0,,-13.0,7.0,,,,,,,,,,,,,,,,,,,,
,Apr,30,1,MORI,ES ,29.0,,46.0,,19.0,,,,-17.0,3.0,Phone,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,G9000,,31.0,1.2,50.0,-3.7,12.6,1.8,,,-19.0,4.9,Final G9000 omnibus poll,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Exit polls,,MORI,ITN,30.0,,46.0,,18.0,,,,-16.0,,,,,,,,,,,,,,,,,,,,,
,,,,NOP,BBC,29.0,,47.0,,17.0,,,,-18.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,Result,,31.0,,44.0,,17.0,,,,-13.0,,,,,,,,,,,,,,,,,,,,,
